sample,target_name,estimate_ctrl_delta_ct,estimate_delta_delta_ct,std_error_ctrl_delta_ct,std_error_delta_delta_ct,statistic_ctrl_delta_ct,statistic_delta_delta_ct,p_value_ctrl_delta_ct,p_value_delta_delta_ct,padj_delta_delta_ct,fc,logfc
TWIST1,TWIST1,15.203481886121972,-8.8532419204712,0.4294941473012785,0.6073964480733358,35.39857756305383,-14.575722246242503,3.8010269716916153e-6,1.2886184505405104e-4,3.8658553516215314e-4,462.4783180629663,8.8532419204712
ZEB2,ZEB2,22.14579370286731,-12.978639390733514,1.0102494614265245,1.428708489729506,21.921114089579717,-9.084176012134378,2.562710294965265e-5,8.141679358452914e-4,0.0024425038075358745,8071.602376274973,12.978639390733514
SNAI1,SNAI1,21.066753387451183,-3.013416926066087,0.7659646136554342,1.083237544929383,27.50355957948727,-2.7818615964446964,1.0393882306483982e-5,0.04972377118548837,0.1491713135564651,8.074746263629855,3.013416926066087
ZEB2,CDH1,1.4673512776692725,0.8433244493272568,0.4084294884186404,0.5776065217947461,3.5926673251497374,1.4600327688594454,0.022907281670401257,0.2180610775055451,0.6541832325166352,0.55735775045043,-0.8433244493272568
ZEB2,SNAI1,21.066753387451183,0.7350639767116914,0.6933194280285297,0.9805017381747037,30.385349862984505,0.7496814621461888,6.988192502093031e-6,0.49513139115726384,0.8807251807557501,0.6007913819122388,-0.7350639767116914
TWIST1,SNAI1,21.06675338745118,0.60454294416639065,0.49952604049843646,0.7064365012314207,42.173483821644965,0.8557640256591854,1.8895885131467303e-6,0.44036259037787506,0.8807251807557501,0.6576797046109318,-0.60454294416639065
ZEB2,TWIST1,15.203481886121965,0.6530672709147137,0.611652749556845,0.8650076138860842,24.85639424843132,0.7549844191321978,1.5549880480103313e-5,0.49227453515637154,0.9845490703127431,0.6359268502731872,-0.6530672709147137
SNAI1,TWIST1,15.203481886121969,-0.16809124416775714,0.46269665129026216,0.6543518795193033,32.85842212976037,-0.2568820376755691,5.115493602528467e-6,0.8099420188555253,0.9845490703127431,1.1235709617464351,0.16809124416775714
TWIST1,CDH1,1.467351277669273,-0.2042468388875386,0.517706335550001,0.7321473210612878,2.8343313127709515,-0.27896959124493087,0.047137575974201866,0.7940971933200731,1,1.1520847422085858,0.2042468388875386
TWIST1,ZEB2,22.145793702867298,0.5685684416029156,1.2618628639187794,1.784543576008893,17.550079597471,0.3186072053642484,6.190029800411532e-5,0.7659669404975706,1,0.6742855370871108,-0.5685684416029156
SNAI1,CDH1,1.467351277669273,-0.26407390170627504,0.550832562856146,0.778994880987892,2.6638789654352415,-0.3389931155534507,0.05616285099844737,0.7516638844021064,1,1.2008649399272666,0.26407390170627504
SNAI1,ZEB2,22.145793702867312,-0.5438414679633332,1.029720065040513,1.456244081427999,21.506615685881595,-0.3734548863745698,2.7645796823872276e-5,0.7277599323485164,1,1.4578491727504161,0.5438414679633332
